filename,category,timestamp,year,method,html_size_kb,extracted_chars,output_file
CG_20210228042014_2CS2OFRT2MPZ.html,CG,20210228042014,2021,AW_article_wrapper,381.8388671875,34715,CG_20210228042014_2CS2OFRT2MPZ.md
CG_20210301065347_H3C3VEJEUTQ7.html,CG,20210301065347,2021,AW_article_wrapper,381.4794921875,34715,CG_20210301065347_H3C3VEJEUTQ7.md
CG_20210310233535_WJOX3HHAJDZO.html,CG,20210310233535,2021,AW_article_wrapper,467.283203125,34715,CG_20210310233535_WJOX3HHAJDZO.md
CG_20210317215143_FRG3GM4ASIAN.html,CG,20210317215143,2021,AW_article_wrapper,467.50390625,34715,CG_20210317215143_FRG3GM4ASIAN.md
CG_20210325062756_B7E6GP5FIYYE.html,CG,20210325062756,2021,AW_article_wrapper,470.2470703125,34715,CG_20210325062756_B7E6GP5FIYYE.md
CG_20210331233754_35B6U7CWFNL5.html,CG,20210331233754,2021,AW_article_wrapper,589.9228515625,34715,CG_20210331233754_35B6U7CWFNL5.md
CG_20210401005612_FO2IICWFXMVU.html,CG,20210401005612,2021,AW_article_wrapper,589.9140625,34715,CG_20210401005612_FO2IICWFXMVU.md
CG_20210403033601_BJLP25HVFL73.html,CG,20210403033601,2021,AW_article_wrapper,589.9140625,34715,CG_20210403033601_BJLP25HVFL73.md
CG_20210406181016_P5CAG26APYRO.html,CG,20210406181016,2021,AW_article_wrapper,589.9921875,34715,CG_20210406181016_P5CAG26APYRO.md
CG_20210409010114_C5MKOXOXIMWG.html,CG,20210409010114,2021,AW_article_wrapper,589.9921875,34715,CG_20210409010114_C5MKOXOXIMWG.md
CG_20210430032115_CFXT6KEPWYHS.html,CG,20210430032115,2021,AW_article_wrapper,590.2646484375,34715,CG_20210430032115_CFXT6KEPWYHS.md
CG_20210501001217_4VI4IOWPGI7G.html,CG,20210501001217,2021,AW_article_wrapper,590.2646484375,34715,CG_20210501001217_4VI4IOWPGI7G.md
CG_20210513133636_5I2IM2TDAWGD.html,CG,20210513133636,2021,AW_article_wrapper,590.6171875,34715,CG_20210513133636_5I2IM2TDAWGD.md
CG_20210521045329_DIIQE7QMST5J.html,CG,20210521045329,2021,AW_article_wrapper,590.6171875,34715,CG_20210521045329_DIIQE7QMST5J.md
CG_20210524080144_GDMLWVJWHUPP.html,CG,20210524080144,2021,AW_article_wrapper,590.6826171875,34715,CG_20210524080144_GDMLWVJWHUPP.md
CG_20210527201009_74OJYAV4VOPF.html,CG,20210527201009,2021,AW_article_wrapper,598.82421875,34715,CG_20210527201009_74OJYAV4VOPF.md
CG_20210601030023_SA5PC66WGOYM.html,CG,20210601030023,2021,AW_article_wrapper,598.82421875,34715,CG_20210601030023_SA5PC66WGOYM.md
CG_20210605161555_WSTG3NA6P7XK.html,CG,20210605161555,2021,AW_article_wrapper,600.529296875,34715,CG_20210605161555_WSTG3NA6P7XK.md
CG_20210616035027_W7BMYXG64RJW.html,CG,20210616035027,2021,AW_article_wrapper,598.54296875,34715,CG_20210616035027_W7BMYXG64RJW.md
CG_20210623044849_EOEI3R7YWCY6.html,CG,20210623044849,2021,AW_article_wrapper,600.9775390625,34715,CG_20210623044849_EOEI3R7YWCY6.md
CG_20210630220535_BLUJFKIMJL2R.html,CG,20210630220535,2021,AW_article_wrapper,601.2529296875,34715,CG_20210630220535_BLUJFKIMJL2R.md
CG_20210701130542_WPWSCGHJN3UE.html,CG,20210701130542,2021,AW_article_wrapper,601.8779296875,34715,CG_20210701130542_WPWSCGHJN3UE.md
CG_20210709210054_SST2MNL7EXQ7.html,CG,20210709210054,2021,AW_article_wrapper,603.169921875,34715,CG_20210709210054_SST2MNL7EXQ7.md
CG_20210722150313_G6ZFIBUAWBSF.html,CG,20210722150313,2021,AW_article_wrapper,604.150390625,34781,CG_20210722150313_G6ZFIBUAWBSF.md
CG_20210723204241_VLKEWRGAFFAW.html,CG,20210723204241,2021,AW_article_wrapper,603.6328125,34781,CG_20210723204241_VLKEWRGAFFAW.md
CG_20210731130100_5OR5CJVIA2K6.html,CG,20210731130100,2021,AW_article_wrapper,603.6982421875,34781,CG_20210731130100_5OR5CJVIA2K6.md
CG_20210804003900_IDFFTAJ7PY3D.html,CG,20210804003900,2021,AW_article_wrapper,604.255859375,34781,CG_20210804003900_IDFFTAJ7PY3D.md
CG_20210809193945_I44VCHZR47S3.html,CG,20210809193945,2021,AW_article_wrapper,604.2705078125,34781,CG_20210809193945_I44VCHZR47S3.md
CG_20210815073749_446O3FA7N3BB.html,CG,20210815073749,2021,AW_article_wrapper,718.0537109375,34781,CG_20210815073749_446O3FA7N3BB.md
CG_20210825015502_DSB6E3TJV662.html,CG,20210825015502,2021,AW_article_wrapper,719.5634765625,34781,CG_20210825015502_DSB6E3TJV662.md
CG_20210831091434_OQTHTTL3R23I.html,CG,20210831091434,2021,AW_article_wrapper,724.9853515625,34781,CG_20210831091434_OQTHTTL3R23I.md
CG_20210903001708_XBI4DEIWHIHN.html,CG,20210903001708,2021,AW_article_wrapper,726.193359375,34781,CG_20210903001708_XBI4DEIWHIHN.md
CG_20210912005102_ORDVD6NX57KM.html,CG,20210912005102,2021,AW_article_wrapper,726.9736328125,34781,CG_20210912005102_ORDVD6NX57KM.md
CG_20210917021038_C22OUXWFDCIT.html,CG,20210917021038,2021,AW_article_wrapper,734.0703125,34781,CG_20210917021038_C22OUXWFDCIT.md
CG_20210924020915_BKVLTP3HJ3C3.html,CG,20210924020915,2021,AW_article_wrapper,734.548828125,34781,CG_20210924020915_BKVLTP3HJ3C3.md
CG_20210930221900_P4V2EKGGFVOW.html,CG,20210930221900,2021,AW_article_wrapper,734.5498046875,34781,CG_20210930221900_P4V2EKGGFVOW.md
CG_20211001002832_ZD4FVVV3NFP4.html,CG,20211001002832,2021,AW_article_wrapper,734.5498046875,34781,CG_20211001002832_ZD4FVVV3NFP4.md
CG_20211006045946_FI4GAWWMFWF4.html,CG,20211006045946,2021,AW_article_wrapper,737.091796875,34781,CG_20211006045946_FI4GAWWMFWF4.md
CG_20211015012630_TUDWZDJD2YD2.html,CG,20211015012630,2021,AW_article_wrapper,737.6357421875,34781,CG_20211015012630_TUDWZDJD2YD2.md
CG_20211021093716_EU52Y2XPSRSD.html,CG,20211021093716,2021,AW_article_wrapper,740.8115234375,34781,CG_20211021093716_EU52Y2XPSRSD.md
CG_20211030075517_JI5BIP5S4QKS.html,CG,20211030075517,2021,AW_article_wrapper,742.841796875,34781,CG_20211030075517_JI5BIP5S4QKS.md
CG_20211102030216_ODLEZMQMDT5B.html,CG,20211102030216,2021,AW_article_wrapper,742.841796875,34781,CG_20211102030216_ODLEZMQMDT5B.md
CG_20211109222230_XFBPS7A6WTG6.html,CG,20211109222230,2021,AW_article_wrapper,743.27734375,34781,CG_20211109222230_XFBPS7A6WTG6.md
CG_20211117063629_2IJM7O3HT7MG.html,CG,20211117063629,2021,AW_article_wrapper,744.142578125,34781,CG_20211117063629_2IJM7O3HT7MG.md
CG_20211121093725_5CLFNJUJJ23H.html,CG,20211121093725,2021,AW_article_wrapper,744.65234375,34781,CG_20211121093725_5CLFNJUJJ23H.md
CG_20211130213911_6FYZIBZYHFMT.html,CG,20211130213911,2021,AW_article_wrapper,745.59765625,34781,CG_20211130213911_6FYZIBZYHFMT.md
CG_20211201011838_W6DIX23P3J44.html,CG,20211201011838,2021,AW_article_wrapper,745.650390625,34781,CG_20211201011838_W6DIX23P3J44.md
CG_20211210021458_3AXFJESFHGU7.html,CG,20211210021458,2021,AW_article_wrapper,752.625,34781,CG_20211210021458_3AXFJESFHGU7.md
CG_20211216024934_EBGREFWMAKX5.html,CG,20211216024934,2021,AW_article_wrapper,753.515625,34781,CG_20211216024934_EBGREFWMAKX5.md
CG_20211217125237_EFZ6AS73QT4Z.html,CG,20211217125237,2021,AW_article_wrapper,753.896484375,34781,CG_20211217125237_EFZ6AS73QT4Z.md
CG_20211224100642_WA6JMJVM725K.html,CG,20211224100642,2021,AW_article_wrapper,753.896484375,34781,CG_20211224100642_WA6JMJVM725K.md
CG_20220101060704_6ISHKRMA5JVH.html,CG,20220101060704,2022,AW_article_wrapper,753.896484375,34781,CG_20220101060704_6ISHKRMA5JVH.md
CG_20220117041837_IH6I2GAQAHW2.html,CG,20220117041837,2022,AW_article_wrapper,766.0,34781,CG_20220117041837_IH6I2GAQAHW2.md
CG_20220123043352_5OJYAY6A6T43.html,CG,20220123043352,2022,AW_article_wrapper,770.7841796875,34781,CG_20220123043352_5OJYAY6A6T43.md
CG_20220127191957_VYSTWM65JUT3.html,CG,20220127191957,2022,AW_article_wrapper,772.1943359375,34781,CG_20220127191957_VYSTWM65JUT3.md
CG_20220131205807_MW6RHV3UMRI4.html,CG,20220131205807,2022,AW_article_wrapper,772.1943359375,34781,CG_20220131205807_MW6RHV3UMRI4.md
CG_20220201020519_IA7MZ4M6KZR5.html,CG,20220201020519,2022,AW_article_wrapper,772.1943359375,34781,CG_20220201020519_IA7MZ4M6KZR5.md
CG_20220208195105_MJVE3REHBET6.html,CG,20220208195105,2022,AW_article_wrapper,777.00390625,34920,CG_20220208195105_MJVE3REHBET6.md
CG_20220216041153_3XALK3POMEOA.html,CG,20220216041153,2022,AW_article_wrapper,778.4833984375,34920,CG_20220216041153_3XALK3POMEOA.md
CG_20220222042447_WYYOB34OFOCM.html,CG,20220222042447,2022,AW_article_wrapper,779.7119140625,34920,CG_20220222042447_WYYOB34OFOCM.md
CG_20220228210631_EO4XUXBEBJLT.html,CG,20220228210631,2022,AW_article_wrapper,780.5703125,34920,CG_20220228210631_EO4XUXBEBJLT.md
CG_20220301003449_3O3KKSD5YTFY.html,CG,20220301003449,2022,AW_article_wrapper,780.5703125,34920,CG_20220301003449_3O3KKSD5YTFY.md
CG_20220308000557_FFUIMT64WSXI.html,CG,20220308000557,2022,AW_article_wrapper,838.6435546875,43267,CG_20220308000557_FFUIMT64WSXI.md
CG_20220316173621_F7LNPI27VMHW.html,CG,20220316173621,2022,AW_article_wrapper,838.8232421875,43267,CG_20220316173621_F7LNPI27VMHW.md
CG_20220323040311_4Y5Q37UENKS4.html,CG,20220323040311,2022,AW_article_wrapper,840.2294921875,43267,CG_20220323040311_4Y5Q37UENKS4.md
CG_20220331224111_AQADMIGNFSPU.html,CG,20220331224111,2022,AW_article_wrapper,839.6611328125,43267,CG_20220331224111_AQADMIGNFSPU.md
CG_20220401000416_73WFQOYP7J7M.html,CG,20220401000416,2022,AW_article_wrapper,839.6611328125,43267,CG_20220401000416_73WFQOYP7J7M.md
CG_20220409113457_JNCBTYABLH2B.html,CG,20220409113457,2022,AW_article_wrapper,840.3212890625,43267,CG_20220409113457_JNCBTYABLH2B.md
CG_20220414071826_DFJ3EO6PD6NE.html,CG,20220414071826,2022,AW_article_wrapper,839.880859375,43267,CG_20220414071826_DFJ3EO6PD6NE.md
CG_20220422214623_U7PXAU2MVZZP.html,CG,20220422214623,2022,AW_article_wrapper,845.47265625,43267,CG_20220422214623_U7PXAU2MVZZP.md
CG_20220430234144_USXXKRRXKIXB.html,CG,20220430234144,2022,AW_article_wrapper,845.47265625,43267,CG_20220430234144_USXXKRRXKIXB.md
CG_20220501041914_NUHWNZWJS7QB.html,CG,20220501041914,2022,AW_article_wrapper,845.47265625,43267,CG_20220501041914_NUHWNZWJS7QB.md
CG_20220509212536_EAMTP6PJ4MK6.html,CG,20220509212536,2022,AW_article_wrapper,838.2021484375,43267,CG_20220509212536_EAMTP6PJ4MK6.md
CG_20220515232245_RBOOMGFY4FWS.html,CG,20220515232245,2022,AW_article_wrapper,838.9130859375,43267,CG_20220515232245_RBOOMGFY4FWS.md
CG_20220523185728_LKWJ63RGEN6X.html,CG,20220523185728,2022,AW_article_wrapper,839.193359375,43267,CG_20220523185728_LKWJ63RGEN6X.md
CG_20220531133735_YH45L3FKDDFN.html,CG,20220531133735,2022,AW_article_wrapper,839.193359375,43267,CG_20220531133735_YH45L3FKDDFN.md
CG_20220601032042_X3JWK5DD2L45.html,CG,20220601032042,2022,AW_article_wrapper,839.193359375,43267,CG_20220601032042_X3JWK5DD2L45.md
