category,filename,length,ascii_ratio,alpha_ratio,weird_runs,keyword_hits
CG,CG_20220201020519_IA7MZ4M6KZR5.md,34781,0.999597481383514,0.9929846755412438,0,7
CG,CG_20220208195105_MJVE3REHBET6.md,34920,0.9995990836197022,0.9930126002290951,0,7
CG,CG_20220216041153_3XALK3POMEOA.md,34920,0.9995990836197022,0.9930126002290951,0,7
CG,CG_20220222042447_WYYOB34OFOCM.md,34920,0.9995990836197022,0.9930126002290951,0,7
CG,CG_20220228210631_EO4XUXBEBJLT.md,34920,0.9995990836197022,0.9930126002290951,0,7
CG,CG_20220301003449_3O3KKSD5YTFY.md,34920,0.9995990836197022,0.9930126002290951,0,7
CG,CG_20220308000557_FFUIMT64WSXI.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220316173621_F7LNPI27VMHW.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220323040311_4Y5Q37UENKS4.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220331224111_AQADMIGNFSPU.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220401000416_73WFQOYP7J7M.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220409113457_JNCBTYABLH2B.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220414071826_DFJ3EO6PD6NE.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220422214623_U7PXAU2MVZZP.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220430234144_USXXKRRXKIXB.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220501041914_NUHWNZWJS7QB.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220509212536_EAMTP6PJ4MK6.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220515232245_RBOOMGFY4FWS.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220523185728_LKWJ63RGEN6X.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220531133735_YH45L3FKDDFN.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220601032042_X3JWK5DD2L45.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220605032207_VURPZOP3IQAB.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220612003909_OVMP5A7CWVTZ.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220617035001_4VDVX5DBA2P5.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220630131502_3VHJ24OYSH4N.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220701035543_SMGAMMD63KCV.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220705030423_GJXKFVEPAX7S.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220711074836_YNRXMOCDGERK.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220716100150_QMSEU7SDXB35.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220728201636_VQJNH5BMXZYQ.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220801170728_VOE5I2AHJX7Y.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220808135527_QVYSE4MAMNJY.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220816184016_QWDYXRFCILLS.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220823180503_64ATA2LNK6KN.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220831172945_NNUKDNZZJLZP.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220901001012_ATAWUAGGO4AO.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220915121936_A6E52L5OPTG3.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220921235203_CGV6HHFXG37I.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220926103348_ZZRNVLVVM4IM.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20220930080312_5HRB2DKBL3MB.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20221001010317_7M5OURJZ74SW.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20221012172627_W4FZIPB4CURY.md,43267,0.9994915293410682,0.9937596782767467,0,7
CG,CG_20221017103107_BNARDPSFUNZQ.md,43439,0.9994935426690301,0.9937843873017335,0,7
CG,CG_20221022195932_VHID7Y5MESBJ.md,43433,0.999493472705086,0.9937835286533281,0,7
CG,CG_20221031233115_PDITOLPJVNBQ.md,43433,0.999493472705086,0.9937835286533281,0,7
CG,CG_20221102000209_CAFOK5H424FK.md,43433,0.999493472705086,0.9937835286533281,0,7
CG,CG_20221111010628_AHAYCBTROX4J.md,43433,0.999493472705086,0.9937835286533281,0,7
CG,CG_20221116060250_VMFYFNQUABGG.md,43433,0.999493472705086,0.9937835286533281,0,7
CG,CG_20221123100932_WGKOHATHRAYI.md,43185,0.9995137200416812,0.9937709852958203,0,7
CG,CG_20221130132827_FOPEHLBEKBSK.md,43185,0.9995137200416812,0.9937709852958203,0,7
